2025-06-11 18:38:24,348 - neuroevo_rank_0 - INFO - Generation 6: Best=114.389, Time=2.99s
2025-06-11 18:38:27,208 - neuroevo_rank_0 - INFO - Generation 7: Best=190.944, Time=2.86s
2025-06-11 18:38:31,051 - neuroevo_rank_0 - INFO - Generation 8: Best=214.667, Time=3.84s
2025-06-11 18:38:37,651 - neuroevo_rank_0 - INFO - Generation 9: Best=226.278, Time=6.60s
2025-06-11 18:38:44,619 - neuroevo_rank_0 - INFO - Generation 10: Best=217.556, Time=6.97s
2025-06-11 18:38:52,396 - neuroevo_rank_0 - INFO - Generation 11: Best=216.389, Time=7.77s
2025-06-11 18:38:59,887 - neuroevo_rank_0 - INFO - Generation 12: Best=223.944, Time=7.49s
2025-06-11 18:39:06,689 - neuroevo_rank_0 - INFO - Generation 13: Best=215.333, Time=6.80s
2025-06-11 18:39:13,829 - neuroevo_rank_0 - INFO - Generation 14: Best=216.722, Time=7.14s
2025-06-11 18:39:22,214 - neuroevo_rank_0 - INFO - Generation 15: Best=212.722, Time=8.38s
2025-06-11 18:39:30,422 - neuroevo_rank_0 - INFO - Generation 16: Best=222.333, Time=8.21s
2025-06-11 18:39:38,542 - neuroevo_rank_0 - INFO - Generation 17: Best=223.278, Time=8.12s
2025-06-11 18:39:47,218 - neuroevo_rank_0 - INFO - Generation 18: Best=226.667, Time=8.68s
2025-06-11 18:39:56,369 - neuroevo_rank_0 - INFO - Generation 19: Best=225.056, Time=9.15s
2025-06-11 18:40:07,038 - neuroevo_rank_0 - INFO - Generation 20: Best=215.667, Time=10.67s
2025-06-11 18:40:17,226 - neuroevo_rank_0 - INFO - Generation 21: Best=223.500, Time=10.19s
2025-06-11 18:40:27,338 - neuroevo_rank_0 - INFO - Generation 22: Best=489.833, Time=10.11s
2025-06-11 18:40:38,409 - neuroevo_rank_0 - INFO - Generation 23: Best=500.000, Time=11.07s
2025-06-11 18:40:59,420 - neuroevo_rank_0 - INFO - Generation 24: Best=500.000, Time=21.01s
2025-06-11 18:41:19,508 - neuroevo_rank_0 - INFO - Generation 25: Best=500.000, Time=20.09s
2025-06-11 18:41:42,240 - neuroevo_rank_0 - INFO - Generation 26: Best=500.000, Time=22.73s
2025-06-11 18:42:04,299 - neuroevo_rank_0 - INFO - Generation 27: Best=500.000, Time=22.06s
2025-06-11 18:42:29,053 - neuroevo_rank_0 - INFO - Generation 28: Best=500.000, Time=24.75s
2025-06-11 18:42:50,265 - neuroevo_rank_0 - INFO - Generation 29: Best=500.000, Time=21.21s
2025-06-11 18:43:12,886 - neuroevo_rank_0 - INFO - Generation 30: Best=500.000, Time=22.62s
2025-06-11 18:43:35,296 - neuroevo_rank_0 - INFO - Generation 31: Best=500.000, Time=22.41s
2025-06-11 18:43:58,686 - neuroevo_rank_0 - INFO - Generation 32: Best=500.000, Time=23.39s
2025-06-11 18:44:22,582 - neuroevo_rank_0 - INFO - Generation 33: Best=500.000, Time=23.89s
2025-06-11 18:44:46,100 - neuroevo_rank_0 - INFO - Generation 34: Best=500.000, Time=23.52s
2025-06-11 18:45:07,975 - neuroevo_rank_0 - INFO - Generation 35: Best=500.000, Time=21.87s
2025-06-11 18:45:32,659 - neuroevo_rank_0 - INFO - Generation 36: Best=500.000, Time=24.68s
2025-06-11 18:45:57,175 - neuroevo_rank_0 - INFO - Generation 37: Best=500.000, Time=24.51s
2025-06-11 18:46:22,246 - neuroevo_rank_0 - INFO - Generation 38: Best=500.000, Time=25.07s
2025-06-11 18:46:46,741 - neuroevo_rank_0 - INFO - Generation 39: Best=500.000, Time=24.49s
2025-06-11 18:47:12,823 - neuroevo_rank_0 - INFO - Generation 40: Best=500.000, Time=26.08s
2025-06-11 18:47:39,087 - neuroevo_rank_0 - INFO - Generation 41: Best=500.000, Time=26.26s
2025-06-11 18:48:10,440 - neuroevo_rank_0 - INFO - Generation 42: Best=500.000, Time=31.35s
2025-06-11 18:48:34,214 - neuroevo_rank_0 - INFO - Generation 43: Best=500.000, Time=23.77s
2025-06-11 18:48:59,332 - neuroevo_rank_0 - INFO - Generation 44: Best=500.000, Time=25.12s
2025-06-11 18:49:28,077 - neuroevo_rank_0 - INFO - Generation 45: Best=500.000, Time=28.74s
2025-06-11 18:49:53,068 - neuroevo_rank_0 - INFO - Generation 46: Best=500.000, Time=24.99s
2025-06-11 18:50:21,766 - neuroevo_rank_0 - INFO - Generation 47: Best=500.000, Time=28.69s
2025-06-11 18:50:45,067 - neuroevo_rank_0 - INFO - Generation 48: Best=500.000, Time=23.30s
2025-06-11 18:51:22,602 - neuroevo_rank_0 - INFO - Generation 49: Best=500.000, Time=37.53s
2025-06-11 18:51:22,606 - neuroevo_rank_0 - INFO - WANN experiment completed in 788.94 seconds
2025-06-11 18:51:22,672 - neuroevo_rank_0 - INFO - Starting NEAT experiment on rank 0
2025-06-11 19:00:16,090 - neuroevo_rank_0 - INFO - Starting WANN experiment on rank 0
2025-06-11 19:00:16,634 - neuroevo_rank_0 - INFO - Generation 0: Best=9.667, Time=0.54s
2025-06-11 19:00:17,260 - neuroevo_rank_0 - INFO - Generation 1: Best=111.722, Time=0.62s
2025-06-11 19:00:18,847 - neuroevo_rank_0 - INFO - Generation 2: Best=142.556, Time=1.59s
2025-06-11 19:00:21,970 - neuroevo_rank_0 - INFO - Generation 3: Best=145.833, Time=3.12s
2025-06-11 19:00:25,528 - neuroevo_rank_0 - INFO - Generation 4: Best=150.333, Time=3.56s
2025-06-11 19:00:28,421 - neuroevo_rank_0 - INFO - Generation 5: Best=165.667, Time=2.89s
2025-06-11 19:00:31,741 - neuroevo_rank_0 - INFO - Generation 6: Best=175.667, Time=3.32s
2025-06-11 19:00:35,539 - neuroevo_rank_0 - INFO - Generation 7: Best=178.500, Time=3.80s
2025-06-11 19:00:40,085 - neuroevo_rank_0 - INFO - Generation 8: Best=180.000, Time=4.55s
2025-06-11 19:00:47,212 - neuroevo_rank_0 - INFO - Generation 9: Best=183.556, Time=7.13s
2025-06-11 19:00:52,535 - neuroevo_rank_0 - INFO - Generation 10: Best=184.333, Time=5.32s
2025-06-11 19:00:57,454 - neuroevo_rank_0 - INFO - Generation 11: Best=180.778, Time=4.92s
2025-06-11 19:01:01,716 - neuroevo_rank_0 - INFO - Generation 12: Best=176.556, Time=4.26s
2025-06-11 19:01:05,735 - neuroevo_rank_0 - INFO - Generation 13: Best=181.500, Time=4.02s
2025-06-11 19:01:09,293 - neuroevo_rank_0 - INFO - Generation 14: Best=177.833, Time=3.56s
2025-06-11 19:01:13,400 - neuroevo_rank_0 - INFO - Generation 15: Best=177.667, Time=4.11s
2025-06-11 19:01:18,671 - neuroevo_rank_0 - INFO - Generation 16: Best=179.500, Time=5.27s
2025-06-11 19:01:23,875 - neuroevo_rank_0 - INFO - Generation 17: Best=179.889, Time=5.20s
2025-06-11 19:01:29,683 - neuroevo_rank_0 - INFO - Generation 18: Best=187.556, Time=5.80s
2025-06-11 19:01:34,858 - neuroevo_rank_0 - INFO - Generation 19: Best=189.611, Time=5.17s
2025-06-11 19:01:40,066 - neuroevo_rank_0 - INFO - Generation 20: Best=179.556, Time=5.21s
2025-06-11 19:01:45,572 - neuroevo_rank_0 - INFO - Generation 21: Best=254.833, Time=5.50s
2025-06-11 19:01:53,714 - neuroevo_rank_0 - INFO - Generation 22: Best=255.000, Time=8.14s
2025-06-11 19:02:01,679 - neuroevo_rank_0 - INFO - Generation 23: Best=255.000, Time=7.96s
2025-06-11 19:02:09,785 - neuroevo_rank_0 - INFO - Generation 24: Best=255.111, Time=8.10s
2025-06-11 19:02:17,416 - neuroevo_rank_0 - INFO - Generation 25: Best=255.111, Time=7.63s
